image_id,difficulty,metodo,campo,valor_predito,valor_esperado,acerto_exato,cer,acuracia_caractere,falha_execucao,tempo_ms
easy_00,easy,easyocr,fabricante,,WEG Equipamentos,False,1.0,0.0,False,15240.6
easy_00,easy,easyocr,modelo,IE3 200L,IE3 200L,True,0.0,1.0,False,15240.6
easy_00,easy,easyocr,num_serie,SN-2020-42098,SN-2020-42098,True,0.0,1.0,False,15240.6
easy_00,easy,easyocr,tensao,380/660 V,380/660 V,True,0.0,1.0,False,15240.6
easy_00,easy,easyocr,corrente,,45.2/26.1 A,False,1.0,0.0,False,15240.6
easy_00,easy,easyocr,potencia,11 kW,11 kW,True,0.0,1.0,False,15240.6
easy_00,easy,easyocr,frequencia,50 Hz,50 Hz,True,0.0,1.0,False,15240.6
easy_00,easy,easyocr,grau_ip,,IP44,False,1.0,0.0,False,15240.6
easy_00,easy,easyocr,data_fab,02/2020,02/2020,True,0.0,1.0,False,15240.6
easy_00,easy,easyocr,cod_equipamento,EQ-2020-7912,EQ-2020-7912,True,0.0,1.0,False,15240.6
easy_00,easy,multimodal_vision,fabricante,WEG Equipamentos,WEG Equipamentos,True,0.0,1.0,False,
easy_00,easy,multimodal_vision,modelo,IE3 200L,IE3 200L,True,0.0,1.0,False,
easy_00,easy,multimodal_vision,num_serie,SN-2020-42098,SN-2020-42098,True,0.0,1.0,False,
easy_00,easy,multimodal_vision,tensao,380/660 V,380/660 V,True,0.0,1.0,False,
easy_00,easy,multimodal_vision,corrente,45.2/26.1 A,45.2/26.1 A,True,0.0,1.0,False,
easy_00,easy,multimodal_vision,potencia,11 kW,11 kW,True,0.0,1.0,False,
easy_00,easy,multimodal_vision,frequencia,50 Hz,50 Hz,True,0.0,1.0,False,
easy_00,easy,multimodal_vision,grau_ip,IP44,IP44,True,0.0,1.0,False,
easy_00,easy,multimodal_vision,data_fab,02/2020,02/2020,True,0.0,1.0,False,
easy_00,easy,multimodal_vision,cod_equipamento,EQ-2020-7912,EQ-2020-7912,True,0.0,1.0,False,
easy_00,easy,tesseract,fabricante,WEG Equipamentos,WEG Equipamentos,True,0.0,1.0,False,1994.4
easy_00,easy,tesseract,modelo,IE3 200L,IE3 200L,True,0.0,1.0,False,1994.4
easy_00,easy,tesseract,num_serie,SN-2020-42098,SN-2020-42098,True,0.0,1.0,False,1994.4
easy_00,easy,tesseract,tensao,380/660 V,380/660 V,True,0.0,1.0,False,1994.4
