image_id,difficulty,metodo,campo,valor_predito,valor_esperado,acerto_exato,cer,acuracia_caractere,falha_execucao,tempo_ms
easy_00,easy,easyocr,fabricante,,WEG Equipamentos,False,1.0,0.0,False,15240.6
easy_00,easy,easyocr,corrente,,45.2/26.1 A,False,1.0,0.0,False,15240.6
easy_00,easy,easyocr,grau_ip,,IP44,False,1.0,0.0,False,15240.6
easy_01,easy,easyocr,fabricante,,Parker Hannifin,False,1.0,0.0,False,3860.5
easy_01,easy,easyocr,tensao,,208/360 V,False,1.0,0.0,False,3860.5
easy_01,easy,easyocr,corrente,,68.0/39.3 A,False,1.0,0.0,False,3860.5
easy_01,easy,easyocr,grau_ip,,IP44,False,1.0,0.0,False,3860.5
easy_02,easy,easyocr,corrente,,12.8/7.4 A,False,1.0,0.0,False,1179.3
easy_02,easy,easyocr,potencia,,4 kW,False,1.0,0.0,False,1179.3
easy_02,easy,easyocr,grau_ip,,IP54,False,1.0,0.0,False,1179.3
easy_02,easy,easyocr,data_fab,08/2013,06/2013,False,0.14285714285714285,0.8571428571428572,False,1179.3
easy_02,easy,tesseract,corrente,,12.8/7.4 A,False,1.0,0.0,False,2142.0
easy_03,easy,easyocr,corrente,,12.8/7.4 A,False,1.0,0.0,False,1172.6
easy_03,easy,easyocr,grau_ip,,IP54,False,1.0,0.0,False,1172.6
easy_03,easy,easyocr,cod_equipamento,EQ-7013-7227,EQ-2013-7227,False,0.08333333333333333,0.9166666666666666,False,1172.6
easy_03,easy,tesseract,corrente,,12.8/7.4 A,False,1.0,0.0,False,2144.5
easy_04,easy,easyocr,corrente,,9.2/5.3 A,False,1.0,0.0,False,1165.8
easy_05,easy,easyocr,fabricante,,Grundfos,False,1.0,0.0,False,1172.4
easy_05,easy,easyocr,corrente,,9.2/5.3 A,False,1.0,0.0,False,1172.4
easy_05,easy,easyocr,potencia,,4 kW,False,1.0,0.0,False,1172.4
easy_05,easy,easyocr,grau_ip,,IP66,False,1.0,0.0,False,1172.4
easy_05,easy,easyocr,data_fab,08/2022,06/2022,False,0.14285714285714285,0.8571428571428572,False,1172.4
easy_06,easy,easyocr,modelo,,CM10-3,False,1.0,0.0,False,1188.6
easy_06,easy,easyocr,num_serie,SN-2018-86184,SN-2018-86484,False,0.07692307692307693,0.9230769230769231,False,1188.6
easy_06,easy,easyocr,corrente,,12.8/7.4 A,False,1.0,0.0,False,1188.6
easy_06,easy,easyocr,grau_ip,,IP44,False,1.0,0.0,False,1188.6
easy_06,easy,tesseract,corrente,,12.8/7.4 A,False,1.0,0.0,False,2234.3
easy_06,easy,tesseract,grau_ip,,IP44,False,1.0,0.0,False,2234.3
easy_07,easy,easyocr,fabricante,,Grundfos,False,1.0,0.0,False,1193.1
easy_07,easy,easyocr,modelo,,CM10-3,False,1.0,0.0,False,1193.1
easy_07,easy,easyocr,corrente,,9.2/5.3 A,False,1.0,0.0,False,1193.1
easy_07,easy,easyocr,frequencia,,50 Hz,False,1.0,0.0,False,1193.1
easy_07,easy,easyocr,grau_ip,,IP54,False,1.0,0.0,False,1193.1
easy_08,easy,easyocr,tensao,,208/360 V,False,1.0,0.0,False,1178.3
easy_08,easy,easyocr,corrente,,28.4/16.4 A,False,1.0,0.0,False,1178.3
easy_08,easy,easyocr,grau_ip,,IP55,False,1.0,0.0,False,1178.3
easy_09,easy,easyocr,corrente,,9.2/5.3 A,False,1.0,0.0,False,1194.9
easy_09,easy,easyocr,data_fab,08/2024,06/2024,False,0.14285714285714285,0.8571428571428572,False,1194.9
medium_00,medium,easyocr,modelo,,ALTIVAR 31,False,1.0,0.0,False,644.0
medium_00,medium,easyocr,num_serie,,SN-2023-80686,False,1.0,0.0,False,644.0
medium_00,medium,easyocr,tensao,,380/660 V,False,1.0,0.0,False,644.0
medium_00,medium,easyocr,corrente,,12.8/7.4 A,False,1.0,0.0,False,644.0
medium_00,medium,easyocr,potencia,,2.2 kW,False,1.0,0.0,False,644.0
